tmdb_id,name,headquarters,homepage,logo_path,origin_country
91505,Plus M,"Gangnam, Seoul, South Korea",http://www.megaboxplusm.co.kr/,https://image.tmdb.org/t/p/original/c6ggS6OO4tyEcgBQ7sHs67LDfES.png,KR
109902,Olive Nine,,,,
38369,Seoul Broadcasting System,"Yangcheon, Seoul, South Korea",https://www.sbs.co.kr,https://image.tmdb.org/t/p/original/uHQFPvRTlpgaIFQVN8eKWEnFOll.png,KR
3341,Fuji Television Network,"Minato, Tokyo",https://www.fujitv.co.jp/en/,https://image.tmdb.org/t/p/original/dTG5dXE1kU2mpmL9BNnraffckLU.png,JP
154304,Number 3 Pictures,,,,KR
11073,Sony Pictures Television Studios,"Culver City, California",http://www.sonypicturestelevision.com/,https://image.tmdb.org/t/p/original/aCbASRcI1MI7DXjPbSW9Fcv9uGR.png,US
144300,Studio M,,,,
12620,Fantagio,"Gangnam, Seoul, South Korea",http://www.fantagio.kr/,,KR
116362,Ace Factory,"Seongdong, Seoul, South Korea",,,KR
168924,Red Nine Pictures,,,https://image.tmdb.org/t/p/original/xbhvC0cvE5X0t17quvfXmWKPxFb.png,KR
133206,HIGROUND,"Mapo, Seoul",http://www.higround.co.kr/,,KR
145525,tvN,,,,KR
139166,HiSTORY,"Yongsan, Seoul, South Korea",https://www.hi-story.co.kr/,https://image.tmdb.org/t/p/original/j5LPhKQ6D5owdzGMoxGoszzbYtb.png,KR
168469,Busan DR,,,,
106659,Choirock Contents Factory,"6, Buil-ro 5-gil, Guro-gu, Seoul, Republic of Korea",http://www.choirockcf.com/en/,https://image.tmdb.org/t/p/original/oTiChndxOdV0eORWrRzcGQLr76D.png,KR
63762,Content K,"Gangnam, Seoul",,,KR
121610,Mega Monster,"Mapo, Seoul, South Korea",http://www.megamon.co.kr/index.html,,KR
179721,ASCENDIO,,,,KR
87210,Channel A,,http://www.ichannela.com/,https://image.tmdb.org/t/p/original/8MqKP6o6n0VMeIKc1sP2G8DGnBe.png,KR
87080,U-Story9,,,,
168470,Bridge,,,,
124345,REALTHING,,,,
101323,C-STORY,,,,
86418,Studio Dragon,"Mapo, Seoul, South Korea",http://www.studiodragon.net/front/en/main/main,https://image.tmdb.org/t/p/original/vzzqRwqTin3iAAMw2JlrmVPNnPa.png,KR
8395,Yellow Films,,,,
179960,Studio HIM,,,,KR
